market_model_key,month,brand_raw,model_raw,fuel_type_raw,registrations
polestar:ysm:EL,2026-03-01,POLESTAR,YSM,EL,6
citroen:c5 aircross:EL,2026-03-01,CITROEN,C5 AIRCROSS,EL,6
mercedes benz:citan:EL,2026-03-01,MERCEDES,CITAN,EL,5
lotus:eletre:EL,2026-03-01,LOTUS,ELETRE,EL,7
tesla:model x:EL,2026-03-01,TESLA,MODEL X,EL,3
jeep:avenger:EL,2026-03-01,JEEP,AVENGER,EL,5
kia:ev2:EL,2026-03-01,KIA,EV2,EL,6
smart:3:EL,2026-03-01,SMART,#3,EL,6
citroen:spacetourer:EL,2026-03-01,CITROEN,SPACETOURER,EL,5
bmw:i7:EL,2026-03-01,BMW,I7,EL,2
fiat:panda:EL,2026-03-01,FIAT,PANDA,EL,2
jeep:compass:EL,2026-03-01,JEEP,COMPASS,EL,4
tesla:model s:EL,2026-03-01,TESLA,MODEL S,EL,2
ssangyong:torres:EL,2026-03-01,SSANGYONG,TORRES,EL,2
leapmotor:c10:EL,2026-03-01,LEAPMOTOR,C10,EL,4
ford:mustang mach e:EL,2026-03-01,FORD,MUSTANG MACH-E,EL,1
mercedes benz:v klass:EL,2026-03-01,MERCEDES,V-KLASS,EL,3
mercedes benz:vito:EL,2026-03-01,MERCEDES,VITO,EL,1
mercedes benz:eqt:EL,2026-03-01,MERCEDES,EQT,EL,3
cadillac:lyriq:EL,2026-03-01,CADILLAC,LYRIQ,EL,2
opel:mokka:EL,2026-03-01,OPEL,MOKKA,EL,1
ds:n 8:EL,2026-03-01,DS,N° 8,EL,2
cadillac:optiq:EL,2026-03-01,CADILLAC,OPTIQ,EL,1
audi:e tron gt:EL,2026-03-01,AUDI,E-TRON GT,EL,2
xpeng:p7:EL,2026-03-01,XPENG,P7,EL,1
volkswagen:id 5:EL,2026-03-01,VW,ID.5,EL,1
ford:transit custom:EL,2026-03-01,FORD,TRANSIT CUSTOM,EL,2
leapmotor:t03:EL,2026-03-01,LEAPMOTOR,T03,EL,1
ford:tourneo custom:EL,2026-03-01,FORD,TOURNEO CUSTOM,EL,1
toyota:proace:EL,2026-03-01,TOYOTA,PROACE,EL,1
mg:cyberster:EL,2026-03-01,MG,CYBERSTER,EL,1
ovriga:fabrikat:EL,2026-03-01,ÖVRIGA,FABRIKAT,EL,2
