rank,mvp_scope,brand,model,registrations_ytd,candidate_count,validated_count,reachable_official_count,rendered_ready_count,blocked_count,source_strategy,preferred_source_type,preferred_source_url,preferred_source_domain,preferred_source_hash,public_model
20,top_20,BMW,i5,292,3,3,1,1,2,published_mvp_source_complete,manufacturer_rendered_model_page,https://www.bmw.se/sv/alla-modeller/bmw-i/i5/bmw-i5-tekniska-data.html,bmw.se,8c04ba6ee4fea49cbf5954bb107b5390fdf67d61e834c66a21fdb0b464980ee5,true
21,top_30,Volkswagen,Id.3,284,2,2,1,0,1,published_mvp_source_complete,manufacturer_model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3.html,volkswagen.se,dfd700af8e561423968ef5a2650589daea02f6747d553259f1df96d82c26a974,true
22,top_30,Ford,Explorer,276,4,4,4,1,0,published_mvp_source_complete,manufacturer_price_list,https://ford.se/brochures_and_pricelists/31,ford.se,10952e6dd035df824a9488cc858087de3c8f65679dd85d2defbf64863ee6dbc1,true
23,top_30,Cupra,Born,274,3,3,1,0,2,published_mvp_source_complete,manufacturer_model_page,https://www.cupraofficial.se/bilar/born,cupraofficial.se,bfd710f5388e42d961bb3b807080a5bdd9ef3e0efb1f9e45f6968f4fa5616495,true
24,top_30,Zeekr,7X,251,3,3,1,0,2,published_mvp_source_complete,manufacturer_model_page,https://www.zeekr.eu/sv-se/models/7x,zeekr.eu,18f53ac944bf343cb9f4463131a843ab6e23ce5481fd3f99c0fdc136d94d5caa,true
25,top_30,Audi,Q6 E-Tron,247,3,3,0,1,3,published_mvp_source_complete,manufacturer_rendered_model_page,https://www.audi.se/se/web/sv/models/q6-e-tron/q6-e-tron.html,audi.se,fb000447821be6c1ced530f5552cf7b257d3112c2a6f4068da28511654bd4d6b,true
26,top_30,Kia,Ev4,228,4,4,3,1,1,published_mvp_source_complete,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,true
27,top_30,Polestar,2,226,3,3,2,0,1,published_mvp_source_complete,manufacturer_specs_page,https://www.polestar.com/se/polestar-2/specifications/,polestar.com,564ad86a72d1cedd54252d8fd6bc85a0969deaa673cfd3f66152cb6c6017eb13,true
28,top_30,Volvo,Es90,215,3,3,0,1,3,published_mvp_source_complete,manufacturer_rendered_model_page,https://www.volvocars.com/se/cars/es90-electric/,volvocars.com,d21ef4cb0d7d8cf3eaa15d4a4b2f79cec1ad88562c66ccbe79aaf2f2bb610814,true
29,top_30,Mazda,6E,202,3,3,3,1,0,published_mvp_source_complete,manufacturer_specs_page,https://www.mazda.se/modeller/mazda-6e/specifikationer-och-jamforelser/,mazda.se,9d6e18d3cf2255f9baa57f29ebaa95cf1e55e3115451aa739d441b9bc727e5d4,true
30,top_30,Skoda,Elroq,195,3,3,1,1,2,published_mvp_source_complete,manufacturer_model_page,https://www.skoda.se/modeller/elroq/,skoda.se,d27eb952d4264fd9baa394a381985b1b7439a81122a37329a2c40665e0afd337,true
