batch_order,brand,model,source_type,url,source_domain,research_rank,research_confidence,content_hash,content_type,source_validation,extraction_status,batch_reason
1,Toyota,bZ4X,manufacturer_model_page,https://www.toyota.se/nya-bilar/bz4x/,toyota.se,7,high,72828d83a4e1a7f02066004a6f873670e694f9936f0171c27997892dfdee0c20,text/html;charset=utf-8,reachable_official_model_source,ready_for_ai_extraction,static_reachable_official_source
2,Renault,5 E-Tech,manufacturer_model_page,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric,renault.se,14,high,7ec58abfa713cfa91c194c4ff23c51921c6ef8b10d4cdde69600fa3e81ecd32a,text/html; charset=utf-8,reachable_official_model_source,ready_for_ai_extraction,static_reachable_official_source
3,Skoda,Elroq,manufacturer_model_page,https://www.skoda.se/modeller/elroq/,skoda.se,33,medium,c72e6aded8940d130ce25b8b9a1e09533847b9915d6ed5807bdfbd9a690e8f4e,text/html; charset=utf-8,reachable_official_model_source,ready_for_ai_extraction,static_reachable_official_source
